#{"t_start": 1748433463.6199374, "env_id": "None"}
r,l,t
-1190.371147,24,703.390286
-1190.646622,24,704.735168
-1190.09276,24,706.932182
-1190.09276,24,708.260336
-1190.09276,24,709.560627
-1190.09276,24,710.892674
-1190.09276,24,712.207858
-1189.582299,24,713.637594
-1189.580142,24,714.986917
-1189.65065,24,716.295095
-1190.811334,24,717.62451
-1191.912519,24,718.958391
-1191.146809,24,720.383555
-1191.578632,24,721.716631
-1190.099362,24,723.03387
-1191.316998,24,724.372741
-1192.483493,24,725.810099
-1190.363398,24,727.140997
-1191.011105,24,728.473622
-1191.048941,24,729.798945
-1189.66709,24,731.13063
-1190.219396,24,732.485847
-1190.763215,24,733.821406
-1193.696751,24,735.189101
-1192.511882,24,736.509983
-1191.167161,24,737.859974
-1190.771608,24,739.273466
-1191.578638,24,740.577029
-1189.805598,24,741.937267
-1190.185047,24,743.270931
-1189.982885,24,744.610201
-1190.819986,24,745.946623
-1189.612141,24,747.341763
-1190.796754,24,748.684225
-1190.177764,24,749.973249
-1191.529863,24,751.302699
-1189.42902,24,752.733326
-1190.904968,24,754.061892
-1190.121446,24,755.47555
-1189.68653,24,756.810354
-1192.654013,24,758.136831
-1190.942894,24,759.46399
-1190.150994,24,760.783896
-1190.279107,24,762.122008
-1190.038792,24,763.449342
-1192.245291,24,764.782291
-1190.905665,24,766.108959
-1189.67682,24,767.423794
-1190.09276,24,769.619065
-1190.09276,24,770.983602
-1190.09276,24,772.316875
-1190.09276,24,773.680447
-1190.09276,24,775.122146
-1190.03291,24,776.420217
-1191.479515,24,777.749587
-1192.021375,24,779.074471
-1191.65641,24,780.381024
-1191.233999,24,781.710866
-1189.346966,24,783.054972
-1190.130881,24,784.430511
-1189.640989,24,785.780873
-1192.627558,24,787.106752
-1191.355762,24,788.456039
-1189.657885,24,789.759645
-1191.193361,24,791.113874
-1189.837032,24,793.747112
-1193.241275,24,795.078661
-1189.921816,24,796.418888
-1191.322306,24,797.762337
-1191.97758,24,799.094659
-1191.622064,24,800.39981
-1190.579847,24,801.757035
-1189.683087,24,803.049323
-1189.843209,24,804.496401
-1191.917633,24,805.831502
-1191.519556,24,807.12553
-1190.220954,24,808.464586
-1189.998566,24,809.784359
-1192.456257,24,811.124812
-1192.317557,24,812.47561
-1191.637756,24,813.839883
-1190.460028,24,815.190821
-1189.89586,24,816.529312
-1191.853892,24,817.85665
-1190.696361,24,819.188259
-1190.518634,24,820.498027
-1189.634402,24,821.845056
-1190.079685,24,823.146178
-1190.461185,24,824.484817
-1189.729239,24,825.824102
-1190.127178,24,827.126709
-1190.799448,24,828.463654
-1189.932312,24,829.775765
-1189.92584,24,831.227661
-1190.317439,24,833.483021
-1190.317439,24,834.807475
-1190.317439,24,836.102758
-1190.317439,24,837.437779
-1190.317439,24,838.726521
-1193.350336,24,840.080627
-1189.782168,24,841.431043
-1192.949051,24,842.758278
-1189.395413,24,844.125862
-1190.682489,24,845.432191
-1193.861683,24,846.798402
-1190.099631,24,848.130809
-1190.269974,24,849.436899
-1192.148915,24,850.764386
-1189.568304,24,852.061737
-1189.652594,24,853.434733
-1189.523979,24,854.767866
-1191.265805,24,856.07159
-1189.810771,24,857.442402
-1191.302682,24,858.856371
-1191.059204,24,860.202744
-1189.726508,24,861.532479
-1190.970859,24,862.824017
-1189.578073,24,864.155594
-1191.277429,24,865.458755
-1190.61838,24,866.787256
-1191.057336,24,868.119223
-1189.728107,24,869.443881
-1190.702465,24,870.757457
-1190.879054,24,872.063447
-1191.138173,24,873.424246
-1192.941351,24,874.745201
-1189.868794,24,876.056479
-1190.081746,24,877.385084
-1192.991949,24,878.691071
-1189.936618,24,880.022723
-1189.984843,24,881.347853
-1190.633322,24,882.652582
-1192.631463,24,883.983667
-1190.247919,24,885.391286
-1191.893947,24,886.726839
-1189.291626,24,888.056308
-1190.723954,24,889.347958
-1190.554015,24,890.676387
-1190.702461,24,891.975662
-1191.075677,24,893.348083
-1190.317439,24,895.552839
-1190.317439,24,896.923754
-1190.317439,24,898.213146
-1190.317439,24,899.53735
-1190.317439,24,900.86688
-1190.555266,24,902.199366
-1190.077014,24,903.544055
-1189.505428,24,904.841421
-1189.864478,24,906.167547
-1189.518297,24,907.493443
-1192.603073,24,908.845741
-1189.581276,24,910.18216
-1190.534509,24,911.539131
-1189.421649,24,913.105294
-1189.299484,24,914.427681
-1190.669473,24,915.730567
-1189.541667,24,917.095176
-1189.544309,24,918.403703
-1192.035473,24,919.740165
-1191.354359,24,922.350482
-1194.023443,24,923.709849
-1191.99163,24,925.002654
-1190.092477,24,926.343607
-1190.446011,24,927.679012
-1190.597371,24,929.005373
-1193.42844,24,930.349286
-1191.412216,24,931.638545
-1190.66702,24,932.995719
-1190.064948,24,934.332614
-1189.766286,24,935.676291
-1189.711255,24,937.009235
-1191.612321,24,938.307668
-1190.624653,24,939.631563
-1193.749624,24,941.047344
-1191.44531,24,942.368475
-1190.946775,24,943.702715
-1192.27604,24,944.99234
-1189.96785,24,946.332483
-1191.36789,24,947.638102
-1191.055312,24,948.969805
-1189.977273,24,950.319764
-1192.625975,24,951.636884
-1191.31098,24,953.056064
-1190.283558,24,957.854316
-1191.063006,24,1024.973157
-1190.3633,24,1028.259316
-1190.792759,24,1031.147053
-1190.792759,24,1032.578103
-1190.792759,24,1034.184959
-1190.792759,24,1035.570913
-1190.792759,24,1037.029146
-1190.363034,24,1038.432878
-1190.074667,24,1039.826812
-1189.670178,24,1041.308514
-1190.453708,24,1042.656587
-1192.84092,24,1043.997887
-1189.579611,24,1045.330616
-1190.669678,24,1046.684424
-1191.609113,24,1047.994667
-1189.686216,24,1049.371943
-1190.970296,24,1050.71077
-1191.552505,24,1052.139185
-1192.077623,24,1053.526171
-1190.017899,24,1054.935915
-1190.957866,24,1056.270806
-1191.161273,24,1057.648382
-1189.85811,24,1058.971045
-1190.749934,24,1060.328123
-1190.304439,24,1061.720147
-1189.938965,24,1063.039002
-1190.53293,24,1064.366418
-1192.092973,24,1065.664941
-1191.006254,24,1067.03438
-1190.016268,24,1068.482729
-1190.872692,24,1069.813033
-1191.142422,24,1071.175415
-1191.163888,24,1072.473494
-1191.016815,24,1073.811882
-1190.040602,24,1075.170586
-1191.056884,24,1076.49217
-1190.862774,24,1077.838789
-1192.174598,24,1079.148949
-1192.861586,24,1080.531267
-1191.345219,24,1081.924377
-1189.571531,24,1083.252402
-1191.263733,24,1084.646828
-1189.814203,24,1085.950325
-1190.639265,24,1087.269447
-1189.654077,24,1088.618552
-1194.166234,24,1089.940897
-1192.693752,24,1091.264601
-1191.842951,24,1092.587349
